Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
214,977838;279,970329;133,416441;179,357899;106,030044;113,167927;47,679534;48,755119;138,006244;175,256954
208,461844;126,686086;98,967042;119,282116;152,09252;120,460936;61,68596;36,979313;144,338236;207,998573
223,001274;161,725084;158,866133;115,581534;121,478276;196,077279;56,179048;44,508554;151,63552;132,382588
206,18217;141,894769;151,211747;95,258824;107,090349;119,607358;46,242125;47,879178;145,800778;102,882054
166,556997;211,585366;110,708015;140,622758;115,327942;148,333432;50,10268;50,848403;131,300486;152,123198
137,087874;232,428157;121,510384;149,035164;127,79051;200,488367;55,318771;50,707407;163,502839;110,091446
157,435193;213,996697;114,015531;138,810032;94,194121;144,608501;54,438597;40,122481;148,131518;132,216989
164,949202;120,977992;111,921787;130,810288;141,864726;102,602925;41,553092;56,133578;147,421159;108,607206
170,113088;155,157284;119,110227;129,287729;160,963251;123,609739;60,105157;44,060341;115,827317;165,159799
167,717892;150,55935;120,423963;148,872274;155,901202;100,958721;43,783591;48,730504;178,230952;223,160776
182,303496;196,79521;118,061976;129,317454;146,417526;152,376021;39,495636;58,023988;116,36807;202,735916
151,918121;148,694308;112,414721;115,292606;227,063293;128,895657;44,076685;60,708106;130,255034;145,308875
162,661802;148,253196;123,478597;159,130458;162,661915;200,665061;54,912004;52,27781;139,448576;118,423597
172,596455;137,954839;137,664748;138,155479;128,835484;183,170264;43,556972;46,777459;124,321362;130,645355
173,681355;152,323313;129,665706;110,462929;131,408382;145,17475;53,204399;60,078035;120,160286;125,498181
148,763244;90,325342;127,303493;184,816815;121,478535;102,337001;44,669889;61,35853;145,851146;128,062113
133,14164;136,765931;127,176446;77,638122;129,298248;224,770326;47,414647;42,499556;129,351643;175,458229
132,42972;116,27282;107,21786;111,923783;146,145466;113,953973;39,615498;42,053869;135,915891;118,32843
136,014634;144,709301;121,767035;108,704828;137,66214;209,5742;46,397132;39,422541;127,895599;124,908747
110,61124;98,253135;117,156588;92,081316;153,184726;90,392581;44,820991;40,018917;133,53905;113,750224
87,435051;102,261347;106,614355;124,600729;143,75216;223,270662;39,274754;44,491582;115,678938;121,106798
96,642805;86,921325;155,466472;119,109893;104,525714;101,390477;46,30512;53,022571;139,124789;141,818003
102,190538;95,025518;177,923304;121,270564;114,108635;143,851123;48,829505;48,8427;125,74222;143,059323
92,354204;81,446656;116,816621;138,072098;132,143834;133,027351;40,319349;45,930075;113,759127;109,902591
81,726297;106,804019;144,757336;118,237816;143,261904;72,227949;50,022086;37,875894;122,49543;131,384158
87,068719;69,60216;177,446072;86,936376;142,347896;93,919589;50,809344;44,684365;132,365969;87,798648
83,471302;82,685067;143,119857;137,144113;123,957141;133,792145;43,250732;37,698751;139,361277;103,856334
88,06592;84,210559;149,052039;90,818963;157,784881;178,559518;36,990913;36,750148;141,105317;93,83895
78,42553;69,431876;106,208302;148,092401;114,019528;133,324964;50,175935;35,289255;123,854091;105,216375
77,951552;77,56169;121,573693;91,272234;142,714881;146,103888;41,312455;41,024486;98,478285;82,257796
63,524554;73,474205;148,063336;120,559046;171,027747;122,401354;46,452596;31,04761;132,747259;99,713081
74,183099;78,370923;133,170267;147,854922;134,897917;147,420157;41,181034;44,109335;130,362146;129,708686
71,818267;70,215377;125,805374;136,126252;124,518723;104,093318;38,780381;40,044525;126,556102;122,111771
72,538265;58,838631;100,110081;145,250088;138,401912;120,365284;42,251105;37,457685;129,025192;136,370072
63,198775;60,617168;143,300836;91,78807;148,894669;207,692723;35,377713;35,071749;104,991131;123,765157
64,011071;67,149754;141,651786;135,541905;108,519978;251,991373;35,867111;30,574635;99,770053;127,005459
59,94588;71,590037;111,720685;107,616123;135,835717;142,899959;33,828688;36,051971;107,710403;112,219088
65,986564;68,280612;102,758757;120,331658;152,516403;115,485884;33,03155;45,599677;90,586218;90,167958
71,995466;55,627761;113,213639;99,350604;92,873219;184,467786;42,598919;44,90745;126,660482;84,977277
67,15817;55,915802;98,863905;91,141615;159,687932;141,371535;41,073609;33,504015;113,194193;152,432425
69,340219;66,468012;118,474037;126,212015;117,408047;108,323878;36,225324;34,742045;112,178837;114,347735
60,645064;59,735474;130,586289;136,761665;118,458823;227,526692;33,915644;39,220797;123,993841;103,799672
58,123589;61,451336;108,653756;121,658372;212,497041;101,909721;31,838321;31,311809;118,141674;112,61345
55,569836;64,887424;138,118522;70,170545;100,071353;273,782963;43,44572;40,749184;114,150899;90,106586
60,423116;61,738459;111,993952;131,794287;109,113491;100,854515;32,801713;33,999016;110,677506;111,161811
62,1114;54,424756;108,491839;113,839889;112,912553;97,561702;40,220452;29,634234;115,887793;121,941607
62,505747;63,128642;141,503437;86,803022;152,107427;170,488321;33,798587;41,316877;101,940608;100,444048
63,038329;55,939082;88,625239;119,164852;126,999293;112,393599;36,697178;37,273905;86,012007;152,221031
