Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
0,062566;0,063658;0,030992;0,033384;0,03363;0,034925;0,038754;0,039372;0,046296;0,051977
0,062708;0,066095;0,030957;0,032562;0,034412;0,032712;0,040086;0,040107;0,048952;0,049354
0,061249;0,062836;0,030227;0,03311;0,033223;0,038127;0,040018;0,040454;0,049256;0,048752
0,062492;0,063516;0,033403;0,035064;0,032229;0,033715;0,037293;0,039028;0,049047;0,047222
0,061286;0,065975;0,032333;0,030922;0,033238;0,034621;0,038715;0,040481;0,048247;0,046725
0,059541;0,061992;0,032175;0,035365;0,035916;0,037237;0,038469;0,034879;0,046029;0,050482
0,060191;0,065056;0,032486;0,03535;0,033957;0,032887;0,039473;0,034638;0,046049;0,048092
0,060504;0,058607;0,032227;0,031539;0,031596;0,036915;0,040136;0,040868;0,044533;0,046704
0,057152;0,062344;0,03034;0,030163;0,033892;0,03521;0,036054;0,040027;0,044157;0,049416
0,059251;0,061523;0,030976;0,031482;0,033857;0,031954;0,037015;0,036554;0,044861;0,047039
0,059894;0,055391;0,032946;0,033794;0,032915;0,035085;0,036731;0,039758;0,043257;0,045831
0,056244;0,058334;0,032189;0,031675;0,032551;0,032171;0,039561;0,04098;0,043401;0,045134
0,058632;0,059523;0,03074;0,032563;0,031782;0,036625;0,038649;0,038844;0,044581;0,043327
0,058158;0,058636;0,032538;0,032502;0,034241;0,034804;0,034702;0,036737;0,045553;0,045087
0,057273;0,051111;0,02918;0,033638;0,033215;0,034222;0,037905;0,037286;0,044688;0,0449
0,055602;0,054788;0,029922;0,029193;0,033105;0,03254;0,037691;0,038646;0,044009;0,041379
0,056823;0,052246;0,032476;0,031748;0,032924;0,035124;0,039076;0,035309;0,043121;0,045825
0,05253;0,055482;0,031739;0,031612;0,03299;0,035659;0,035842;0,038355;0,04162;0,044201
0,054187;0,058245;0,03035;0,030456;0,031199;0,032921;0,039285;0,040321;0,044878;0,041293
0,055992;0,053191;0,030861;0,032273;0,032246;0,033771;0,036835;0,038054;0,04223;0,044365
0,053698;0,058309;0,031987;0,034135;0,034647;0,032456;0,036528;0,03431;0,04337;0,042382
0,052224;0,053015;0,033728;0,030519;0,033497;0,035462;0,035462;0,036283;0,04167;0,0443
0,050588;0,054282;0,031812;0,032591;0,030931;0,034489;0,033821;0,036476;0,041932;0,042978
0,055987;0,053675;0,032258;0,03006;0,033125;0,033141;0,034317;0,041373;0,04384;0,042988
0,053975;0,053632;0,034135;0,033808;0,033427;0,034435;0,035822;0,036337;0,04185;0,042814
0,052715;0,052406;0,031904;0,032229;0,03359;0,03209;0,035505;0,032553;0,04233;0,04101
0,052205;0,052065;0,029535;0,030101;0,032952;0,030205;0,034515;0,037833;0,043617;0,040558
0,051369;0,051802;0,029116;0,031388;0,032689;0,033284;0,037017;0,029797;0,042145;0,042165
0,054759;0,050899;0,031063;0,029693;0,032565;0,03325;0,034576;0,03346;0,042349;0,039198
0,054456;0,051436;0,029034;0,03191;0,034445;0,037194;0,035855;0,036154;0,041189;0,039965
0,051945;0,049993;0,031867;0,033821;0,032249;0,035225;0,032485;0,037017;0,040995;0,042782
0,050731;0,053481;0,030559;0,031551;0,031472;0,031485;0,035492;0,032376;0,043614;0,036362
0,052386;0,047425;0,031336;0,031945;0,033716;0,029054;0,037436;0,036586;0,04074;0,038526
0,049705;0,047844;0,03194;0,030599;0,032595;0,028412;0,033102;0,035454;0,041829;0,040075
0,051462;0,048964;0,033097;0,030778;0,033578;0,032592;0,03696;0,035865;0,04005;0,039738
0,048635;0,052143;0,030198;0,033002;0,033433;0,034102;0,035938;0,035551;0,04109;0,040655
0,051055;0,049596;0,032284;0,031349;0,032553;0,031287;0,036455;0,036878;0,040143;0,040493
0,050051;0,04851;0,030318;0,03376;0,03424;0,033487;0,034002;0,032729;0,038078;0,038173
0,051383;0,048528;0,03119;0,02947;0,032735;0,030544;0,033958;0,03124;0,039141;0,041087
0,049608;0,046544;0,030553;0,033539;0,032922;0,032698;0,03472;0,035358;0,040516;0,041253
0,050942;0,04541;0,032155;0,029487;0,034265;0,035564;0,036907;0,035068;0,040604;0,037723
0,049312;0,049009;0,030899;0,030043;0,032385;0,034411;0,035044;0,034071;0,038179;0,03765
0,049968;0,052757;0,030847;0,034328;0,031523;0,031445;0,032564;0,036632;0,039344;0,036977
0,049754;0,048206;0,031883;0,029307;0,033022;0,035023;0,032524;0,034151;0,035125;0,040768
0,049216;0,052765;0,028554;0,028648;0,032899;0,034829;0,03411;0,031802;0,038589;0,039825
0,047454;0,053687;0,030065;0,035017;0,031578;0,031939;0,035636;0,030893;0,038199;0,039372
0,048919;0,050237;0,031275;0,030946;0,03014;0,03228;0,031306;0,031756;0,038775;0,039265
0,050275;0,047745;0,030291;0,032612;0,031144;0,032037;0,033895;0,035402;0,037527;0,038734
0,049579;0,048146;0,028854;0,029572;0,032916;0,032323;0,031563;0,034169;0,040146;0,040659
0,047271;0,047683;0,0318;0,028518;0,031971;0,033244;0,032242;0,035619;0,038272;0,03759
0,049595;0,046226;0,031911;0,028258;0,031451;0,031604;0,033478;0,033599;0,037099;0,03582
0,050665;0,052343;0,029578;0,031289;0,032619;0,032081;0,032808;0,032431;0,038288;0,039764
0,049187;0,050813;0,032541;0,030204;0,033837;0,030047;0,032548;0,029285;0,039187;0,039691
0,048262;0,051289;0,030533;0,031415;0,032898;0,032001;0,031289;0,03493;0,036841;0,043124
